name,description,units,default_value,uncertainty_level,distribution,dispersion,minimum,maximum,notes,ref
beccs_seq_fraction,BECCS sequestration fraction,fraction,0.9,Low,uniform,NA,0.822057713659401,0.9779422863406,,
beccs_efficiency,BECCS efficiency,fraction,0.28,Low,uniform,NA,0.255751288694036,0.304248711305964,,
capture_rate,CO2 capture rate,fraction,0.9,Low,uniform,NA,0.822057713659401,0.9779422863406,Validation needed: Real-world data is sparse. Recommend sensitivity analysis (85-95%).,
ccs_distance,CCS transport distance,km,100,Medium,log-normal,0.198042200435365,0,177.627103856297,,
ccs_storage_cost,CCS injection/monitoring cost,$/Mg CO2,15,High,log-normal,0.385253170159927,0,44.2386883834638,High Priority. Geologic storage costs vary drastically. Consider spatial raster.,
beccs_capital_cost,BECCS capital cost,$/kW,4000,Medium,log-normal,0.198042200435365,0,7105.08415425188,Medium Priority. Differ significantly due to local labor/material costs.,
beccs_om_factor,BECCS O&M factor,fraction,0.05,Medium,uniform,NA,0.0326794919243112,0.0673205080756888,Medium Priority. Highly labor-dependent.,
early_adoption,BECCS early adoption scenario,logical,FALSE,NA,none,NA,NA,NA,,
allow_eor,Allow Enhanced Oil Recovery,logical,FALSE,NA,none,NA,NA,NA,,
py_temp,Pyrolysis temperature,°C,500,Low,uniform,NA,456.698729810778,543.301270189222,,
py_life,Pyrolysis project lifetime,years,20,Low,none,NA,NA,NA,,
py_cc,Pyrolysis capital cost,$/kW,500,Medium,log-normal,0.198042200435365,0,888.135519281484,,
lignin,Lignin fraction,fraction,0.2,Low,uniform,NA,0.182679491924311,0.217320508075689,,
time_frame,Time frame for stability,years,100,NA,none,NA,NA,NA,,
bc_stab_factor,Biochar stability factor,factor,4.6,High,uniform,NA,1.41302651407327,7.78697348592673,Validation needed: Ensure aligns with IPCC or verified carbon standard methodologies.,
bc_cce,Calcium Carbonate Equivalent,fraction,0.15,Medium,uniform,NA,0.0980384757729337,0.201961524227066,"Validation needed: Does 15% hold true globally, or should it scale with bm_ash?",
bc_n_content,Biochar Nitrogen content,fraction,0.005,Low,uniform,NA,0.00456698729810778,0.00543301270189222,,
bc_p_content,Biochar Phosphorus content,fraction,0.002,Low,uniform,NA,0.00182679491924311,0.00217320508075689,,
bc_k_content,Biochar Potassium content,fraction,0.005,Low,uniform,NA,0.00456698729810778,0.00543301270189222,,
ag_impact_duration,Agronomic impact duration,years,10,Medium,uniform,NA,6.53589838486225,13.4641016151378,Medium Priority. Duration depends heavily on local climate and soil. 10-year flat assumption poorly validated.,
bc_ag_value,Biochar agronomic value,$/Mg,0,Medium,normal,0,0,0,,
bc_valuation_method,Biochar valuation method,character,advanced_mechanistic,NA,none,NA,NA,NA,,
h_c_org,H:C organic molar ratio,ratio,0.35,Low,uniform,NA,0.319689110867545,0.380310889132455,,
n_app_rate,Nitrogen application rate,kg/ha,100,NA,normal,NA,NA,NA,,
n2o_factor,N2O emission factor,fraction,0.01,High,uniform,NA,0.00307179676972449,0.0169282032302755,Validation needed: Ensure model accounts for biochar-induced N2O suppression.,
