name,description,units,default_value,distribution,dist_min,dist_max,dist_bounds,notes,category,type,US,Europe,China,India
ash_cce,Calcium carbonate equivalent of recycled combustion ash,fraction,0.85,pert,0.4,1.0,absolute,Default set for alkalinity mass balance with bc_cce at default feedstock ash and biochar yield.,Biochar & Agronomic,parameter,0.85,0.85,0.85,0.85
ash_p_content,Phosphorus content of recycled combustion ash,fraction,0.012,pert,0.5,2,relative,Default set for P mass balance with bc_p_content at default feedstock ash and biochar yield.,Biochar & Agronomic,parameter,0.012,0.012,0.012,0.012
bc_k_content,Biochar Potassium content,fraction,0.005,pert,0.5,2,relative,,Biochar & Agronomic,parameter,0.005,0.005,0.005,0.005
bc_n_content,Biochar Nitrogen content,fraction,0.005,pert,0.5,2,relative,,Biochar & Agronomic,parameter,0.005,0.005,0.005,0.005
bc_p_content,Biochar Phosphorus content,fraction,0.002,pert,0.5,2,relative,,Biochar & Agronomic,parameter,0.002,0.002,0.002,0.002
bc_price,Biochar price,$/t Biochar,100,none,,,,,Biochar & Agronomic,parameter,100,100,100,100
bc_stab_factor,Biochar stability factor,factor,4.6,none,,,,Validation needed: Ensure aligns with IPCC or verified carbon standard methodologies.,Biochar & Agronomic,parameter,4.6,4.6,4.6,4.6
n_app_rate,Mineral N fertiliser application rate on cropland,kg N/ha/yr,68,pert,0.75,1.25,relative,"FAOSTAT N use per ha of cropland (via Our World in Data), 2019-2023 mean; default = world mean.",Biochar & Agronomic,parameter,60,74,198,118
n2o_ef,Direct N2O emission factor for fertiliser N,kg N2O-N / kg N,0.01,pert,0.001,0.018,absolute,IPCC (2019) Refinement EF1 aggregated default and uncertainty range.,Biochar & Agronomic,parameter,0.01,0.01,0.01,0.01
n2o_reduction,Fractional reduction in soil N2O emissions after biochar application,fraction,0.23,pert,0.05,0.41,absolute,Woolf et al. (2021): 23% reduction (95% CI 5-41%) in field trials with >10 Mg C/ha biochar.,Biochar & Agronomic,parameter,0.23,0.23,0.23,0.23
n2o_years,Duration of biochar N2O reduction,years,2,pert,1,15,absolute,Significant effects demonstrated only in the first year (Woolf et al. 2021); long tail reflects uncertainty.,Biochar & Agronomic,parameter,2,2,2,2
bc_app_rate_c,Biochar application rate for N2O effect,Mg C/ha,10,none,,,,Minimum application for which Woolf et al. (2021) credit N2O reduction.,Biochar & Agronomic,parameter,10,10,10,10
price_k,Market price for Potassium,$/kg K2O,0.62,pert,0.6,1.8,relative,High Priority. Massive regional variations due to subsidies and tariffs.,Biochar & Agronomic,parameter,0.82,0.9,0.55,0.68
price_lime,Market price for agricultural lime,$/Mg,60,pert,0.7,1.5,relative,Low Priority. Varies by local transport distance.,Biochar & Agronomic,parameter,45,50,35,35
price_n,Market price for Nitrogen,$/kg N,0.92,pert,0.6,1.8,relative,High Priority. Massive regional variations due to subsidies and tariffs.,Biochar & Agronomic,parameter,1.59,1.75,0.79,0.14
price_p,Market price for Phosphorus,$/kg P2O5,1.1,pert,0.6,1.8,relative,High Priority. Massive regional variations due to subsidies and tariffs.,Biochar & Agronomic,parameter,2.08,2.29,1.1,0.7
py_cc,Pyrolysis unit capital cost (base location),$/(Mg feed/yr),500,pert,0.7,1.8,relative,,Technology - Pyrolysis (BEBCS),parameter,500,500,500,500
py_life,Pyrolysis project lifetime,years,20,none,,,,,Technology - Pyrolysis (BEBCS),parameter,20,20,20,20
bebcs_power_life,BEBCS power block lifetime,years,25,none,,,,,Technology - Pyrolysis (BEBCS),parameter,25,25,25,25
bebcs_power_om_factor,O&M cost as fraction of CAPEX for the BEBCS power block (base location),fraction,0.05,pert,0.75,1.35,relative,,Technology - Pyrolysis (BEBCS),parameter,0.05,0.05,0.05,0.05
bebcs_heat_life,BEBCS heat block lifetime,years,25,none,,,,,Technology - Pyrolysis (BEBCS),parameter,25,25,25,25
bebcs_heat_om_factor,O&M cost as fraction of CAPEX for the BEBCS heat block (base location),fraction,0.03,pert,0.75,1.35,relative,,Technology - Pyrolysis (BEBCS),parameter,0.03,0.03,0.03,0.03
bebcs_power_capital_cost,Syngas power generation capital cost,$/kWe,1500,pert,0.75,1.5,relative,,Technology - Pyrolysis (BEBCS),parameter,1500,1500,1500,1500
bebcs_heat_capital_cost,Syngas heat generation capital cost,$/kWth (heat output),400,pert,0.75,1.5,relative,,Technology - Pyrolysis (BEBCS),parameter,400,400,400,400
py_temp,Peak pyrolysis temperature,°C,500,pert,0.9,1.1,relative,Sampled to represent imperfect temperature control and gradients within the reactor and particles; drives biochar yield and H:C (permanence) jointly.,Technology - Pyrolysis (BEBCS),parameter,500,500,500,500
py_heater_eff,Pyrolysis process heater efficiency (HHV basis),fraction,0.8,pert,0.7,0.9,absolute,,Technology - Pyrolysis (BEBCS),parameter,0.8,0.8,0.8,0.8
py_parasitic_power,Pyrolysis plant parasitic electricity demand,GJe / Mg feed,0.07,pert,0.5,2,relative,,Technology - Pyrolysis (BEBCS),parameter,0.07,0.07,0.07,0.07
py_exhaust_temp,Temperature of vapours and gases leaving heat recovery,°C,170,none,,,,,Technology - Pyrolysis (BEBCS),parameter,170,170,170,170
bebcs_power_efficiency,Electrical efficiency of pyrolysis fuel power block (LHV basis),fraction,0.35,none,,,,,Technology - Pyrolysis (BEBCS),parameter,0.35,0.35,0.35,0.35
target_ph,Target agricultural soil pH,pH,6.5,none,,,,,Biochar & Agronomic,parameter,6.5,6.5,6.5,6.5
time_frame,Time horizon of pyC permanence,years,100,none,,,,,Biochar & Agronomic,parameter,100,100,100,100
gj_to_mwh,Conversion factor from GJ to MWh,ratio,0.277778,none,,,,,Constants,constant,0.277778,0.277778,0.277778,0.277778
gwp_n2o,Global warming potential of N2O (100-yr),CO2e / N2O,273,none,,,,IPCC AR6.,Constants,constant,273,273,273,273
gwp_ch4,Global warming potential of non-fossil CH4 (100-yr),CO2e / CH4,27,none,,,,IPCC AR6.,Constants,constant,27,27,27,27
kg_to_mg,Conversion factor from kg to Mg,ratio,1000,none,,,,,Constants,constant,1000,1000,1000,1000
molar_ratio_co2_c,Molar ratio of CO2 to C,ratio,3.66666666666667,none,,,,,Constants,constant,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667
allow_eor,Allow Enhanced Oil Recovery,logical,FALSE,none,,,,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
ash_recycling,Recycle BES/BECCS combustion ash to cropland (lime and P value),logical,TRUE,none,,,,,Control Flags,control_flag,TRUE,TRUE,TRUE,TRUE
py_e_source,Pyrolysis process energy source (fuel / biomass / biochar),character,fuel,none,,,,,Control Flags,character,fuel,fuel,fuel,fuel
bc_valuation_method,Biochar valuation method,character,advanced_mechanistic,none,,,,,Control Flags,character,advanced_mechanistic,advanced_mechanistic,advanced_mechanistic,advanced_mechanistic
beccs_available,Is BECCS available,logical,TRUE,none,,,,,Control Flags,control_flag,TRUE,TRUE,TRUE,TRUE
early_adoption,BECCS early adoption scenario,logical,FALSE,none,,,,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
optimize_scale,Optimize plant scale,logical,FALSE,none,,,,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
sink_is_offshore,Is the CO2 sink offshore?,logical,FALSE,none,,,,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
use_flat_ci,Use flat carbon intensity,logical,FALSE,none,,,,,Control Flags,control_flag,FALSE,FALSE,FALSE,FALSE
bm_ash,Biomass ash mass fraction,fraction,0.05,pert,0.6,1.6,relative,Medium Priority. Varies by regional feedstock.,Feedstock & Logistics,parameter,0.05,0.05,0.15,0.15
bm_c,Biomass carbon mass fraction,fraction,0.48,pert,0.92,1.04,relative,,Feedstock & Logistics,parameter,0.48,0.48,0.48,0.48
residue_c_retention,Fraction of residue C that would otherwise be retained as SOC,fraction,0.11,pert,0.05,0.2,absolute,Long-term retention efficiency of residue C; SOC loss from removal = bm_c x retention x 44/12.,Feedstock & Logistics,parameter,0.11,0.11,0.11,0.11
residue_burn_fraction,Share of removed residues that would otherwise be burned in the field,fraction,0.1,pert,0.5,1.5,relative,India: Jain et al. (2014); EU: field burning largely prohibited; US and China estimated.,Feedstock & Logistics,parameter,0.02,0.01,0.1,0.16
residue_burn_cf,Combustion factor for field burning of residues,fraction,0.8,none,,,,IPCC (2006) Vol. 4 Table 2.6.,Feedstock & Logistics,parameter,0.8,0.8,0.8,0.8
residue_burn_ch4_ef,CH4 emission factor for field burning of residues,g CH4 / kg dm,2.7,none,,,,IPCC (2006) Vol. 4 Table 2.5.,Feedstock & Logistics,parameter,2.7,2.7,2.7,2.7
residue_burn_n2o_ef,N2O emission factor for field burning of residues,g N2O / kg dm,0.07,none,,,,IPCC (2006) Vol. 4 Table 2.5.,Feedstock & Logistics,parameter,0.07,0.07,0.07,0.07
bm_h,Biomass hydrogen mass fraction (daf),fraction,0.06,none,,,,,Feedstock & Logistics,parameter,0.06,0.06,0.06,0.06
bm_h2o,Biomass moisture content,fraction,0.1,pert,0.08,0.2,absolute,,Feedstock & Logistics,parameter,0.1,0.1,0.1,0.1
bm_lhv,Biomass lower heating value (dry ash-free),GJ/Mg daf,18.6,pert,0.95,1.05,relative,"Medium Priority. Varies by regional feedstock (e.g., rice straw vs corn stover).",Feedstock & Logistics,parameter,18.6,18.6,18.6,18.6
bm_transport_fixed,Fixed loading/handling cost,$/Mg,5,pert,0.7,1.5,relative,,Feedstock & Logistics,parameter,5,5,5,5
bm_transport_var,Variable trucking cost,$/Mg/km,0.15,pert,0.7,1.5,relative,,Feedstock & Logistics,parameter,0.15,0.15,0.15,0.15
lignin,Lignin fraction,fraction,0.2,pert,0.75,1.25,relative,,Feedstock & Logistics,parameter,0.2,0.2,0.2,0.2
transport_emissions_factor,Heavy-duty truck emissions,Mg CO2e / Mg.km,0.0001,none,,,,,Feedstock & Logistics,parameter,0.0001,0.0001,0.0001,0.0001
bes_life,BES Infrastructure project lifetime,years,30,none,,,,,Technology - BES,parameter,30,30,30,30
c_price,Carbon abatement credit price,$/tCO2e,50,none,,,,,Financial & Market,parameter,50,50,50,50
capacity_factor,Annual plant capacity utilization,fraction,0.85,none,,,,,Financial & Market,parameter,0.85,0.85,0.85,0.85
discount_rate,Cost of capital,fraction,0.08,none,,,,High Priority. Cost of capital varies wildly by country risk profiles.,Financial & Market,parameter,0.05,0.045,0.045,0.1
capex_location_factor,"Regional multiplier on all CAPEX (plants, CO2 pipelines, liquefaction and terminals)",ratio,1,none,,,,Applied in code to base CAPEX values.,Financial & Market,parameter,1.25,1.15,0.7,0.65
om_location_factor,Regional multiplier on O&M-to-CAPEX fractions (labour cost relative to equipment),ratio,1,none,,,,Applied in code to all O&M fractions.,Financial & Market,parameter,1.125,1.125,0.75,0.625
haulage_location_factor,Regional multiplier on biomass haulage costs,ratio,1,none,,,,Relative road-freight costs; India ~0.047 USD/t-km vs ~0.07 USD/t-km for US/EU truckload.,Financial & Market,parameter,1,1,0.75,0.65
elec_price,Wholesale electricity price,$/MWh,100,pert,0.7,1.5,relative,,Financial & Market,parameter,,,,
ff_c_intensity,Displaced grid carbon intensity,tCO2eq/GJ,0.00333333333333333,pert,0.8,1.2,relative,,Spatial & Environmental,parameter,,,,
flat_ci_tCO2_GJ,Flat carbon intensity value,tCO2eq/GJ,0.00333333333333333,none,,,,,Spatial & Environmental,parameter,0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333
py_om_factor,O&M cost as fraction of CAPEX for the pyrolysis unit (base location),fraction,0.04,pert,0.75,1.35,relative,,Technology - Pyrolysis (BEBCS),parameter,0.04,0.04,0.04,0.04
plant_sizes_mw_th,Available plant sizes,MWth,"5,25,50,100,250,500",none,,,,,Financial & Market,parameter,"5,25,50,100,250,500","5,25,50,100,250,500","5,25,50,100,250,500","5,25,50,100,250,500"
rebound,Rebound effect,fraction,0,none,,,,,Financial & Market,parameter,0,0,0,0
scaling_factor,Capital cost scale exponent,dimensionless,0.7,none,,,,,Financial & Market,parameter,0.7,0.7,0.7,0.7
wholesale_discount_factor,Ratio of wholesale to retail price,ratio,0.4,pert,0.75,1.25,relative,,Financial & Market,parameter,0.4,0.4,0.4,0.4
avg_dist,Average collection distance,km,,none,,,,,Spatial & Environmental,parameter,,,,
collection_radius,Collection radius,km,50,none,,,,,Spatial & Environmental,parameter,50,50,50,50
dist_offshore,Distance to offshore sink,km,,none,,,,,Spatial & Environmental,parameter,,,,
dist_onshore,Distance to onshore sink,km,,none,,,,,Spatial & Environmental,parameter,,,,
dist_sink_km,Distance to EOR sink,km,,none,,,,,Spatial & Environmental,parameter,,,,
dist_sink_saline_km,Distance to saline sink,km,,none,,,,,Spatial & Environmental,parameter,,,,
feedstock_cost,Feedstock purchase cost,$/Mg,0,none,,,,,Spatial & Environmental,parameter,0,0,0,0
soil_cec,Cation Exchange Capacity,cmol / kg,20,none,,,,,Spatial & Environmental,parameter,20,20,20,20
soil_ph,Native topsoil pH,pH,,none,,,,,Spatial & Environmental,parameter,,,,
soil_temp,Mean annual soil temperature,C,14.9,none,,,,,Spatial & Environmental,parameter,14.9,14.9,14.9,14.9
tortuosity,Road tortuosity factor,ratio,1.3,none,,,,,Spatial & Environmental,parameter,1.3,1.3,1.3,1.3
plant_mw_th,Target plant thermal capacity,MWth,125,none,,,,,Technology & Thermodynamics,parameter,125,125,125,125
